sku,descripcion,stock,fecha
CR-CPK-4,Dukier Cupcakes Correa L,-1,2025-05-06
CR-SPD-2,Dukier Superdog Correa S,411,2025-05-06
CR-SPD-4,Dukier Superdog Correa L,0,2025-05-06
CR-CMO-2,Dukier Camo Correa S,240,2025-05-06
CR-DGT-2,Dukier Dogtella Correa S,95,2025-05-06
CR-DGT-4,Dukier Dogtella Correa L,92,2025-05-06
CR-SPC-2,Dukier Space Correa S,90,2025-05-06
CR-SPC-4,Dukier Space Correa L,0,2025-05-06
CR-NGR-2,Dukier Nigiri Correa S,4,2025-05-06
CR-NGR-4,Dukier Nigiri Correa L,0,2025-05-06
CR-HDG-2,Dukier Heladog Correa S,0,2025-05-06
CR-HDG-4,Dukier Heladog Correa L,0,2025-05-06
CR-AVC-2,Dukier Avocado Correa S,141,2025-05-06
CR-AVC-4,Dukier Avocado Correa L,-6,2025-05-06
CR-NEO-2,Dukier Neón Correa S,0,2025-05-06
CR-NEO-4,Dukier Neón Correa L,0,2025-05-06
CZ-SPD-4,Dukier Superdog Correa Zig-Zag L,0,2025-05-06
CZ-CMO-4,Dukier Camo Correa Zig-Zag L,0,2025-05-06
PJ-SPD-2,Dukier Pajarita Superdog S,0,2025-05-06
PJ-SPD-4,Dukier Pajarita Superdog L,22,2025-05-06
PJ-CMO-2,Dukier Pajarita Camo S,14,2025-05-06
PJ-CMO-4,Dukier Pajarita Camo L,54,2025-05-06
PJ-DGT-2,Dukier Pajarita Dogtella S,0,2025-05-06
PJ-DGT-4,Dukier Pajarita Dogtella L,37,2025-05-06
PJ-SPC-2,Dukier Pajarita Space S,0,2025-05-06
PJ-SPC-4,Dukier Pajarita Space L,0,2025-05-06
PJ-NGR-2,Dukier Pajarita Nigiri S,0,2025-05-06
PJ-NGR-4,Dukier Pajarita Nigiri L,0,2025-05-06
PJ-HDG-2,Dukier Pajarita Heladog S,0,2025-05-06
PJ-HDG-4,Dukier Pajarita Heladog L,0,2025-05-06
PJ-AVC-2,Dukier Pajarita Avocado S,0,2025-05-06
PJ-AVC-4,Dukier Pajarita Avocado L,42,2025-05-06
BD-CLF-2,Dukier California Bandana S,0,2025-05-06
BD-CLF-4,Dukier California Bandana L,0,2025-05-06
BD-CMP-2,Dukier Camping Bandana S,0,2025-05-06
BD-CMP-4,Dukier Camping Bandana L,5,2025-05-06
BD-PRT-2,Dukier Pirata Bandana S,0,2025-05-06
BD-PRT-4,Dukier Pirata Bandana L,0,2025-05-06
CG-CDY-0,Dukier Collar gato Candy,0,2025-05-06
CG-NGR-0,Dukier Collar gato Nigiri,0,2025-05-06
CG-SDN-0,Dukier Collar gato Sardina,0,2025-05-06
CG-EGP-0,Dukier Collar gato Egipto,0,2025-05-06
CG-CPK-0,Dukier Collar gato Cupcakes,57,2025-05-06
CG-APR-0,Dukier Collar gato Animalprint,0,2025-05-06
,Dukier Caja Packaging,5,2025-05-06
CL-RBW-1,Dukier Rainbow Collar XS,0,2025-05-06
CL-RBW-2,Dukier Rainbow Collar S,0,2025-05-06
CL-RBW-3,Dukier Rainbow Collar M,0,2025-05-06
CL-RBW-4,Dukier Rainbow Collar L,0,2025-05-06
CR-RBW-2,Dukier Rainbow Correa S,0,2025-05-06
CR-RBW-4,Dukier Rainbow Correa L,0,2025-05-06
AR-DUK-1,Dukier Ducks Arnés Reversible XS,0,2025-05-06
AR-DUK-2,Dukier Ducks Arnés Reversible S,0,2025-05-06
AR-DUK-3,Dukier Ducks Arnés Reversible M,0,2025-05-06
AR-DUK-4,Dukier Ducks Arnés Reversible L,0,2025-05-06
AR-DUK-5,Dukier Ducks Arnés Reversible XL,0,2025-05-06
AR-XMS-1,Dukier Christmas Arnés Reversible XS,0,2025-05-06
AR-XMS-2,Dukier Christmas Arnés Reversible S,0,2025-05-06
AR-XMS-3,Dukier Christmas Arnés Reversible M,0,2025-05-06
AR-XMS-4,Dukier Christmas Arnés Reversible L,0,2025-05-06
AC-RBW-2,Dukier Rainbow Arnés Clásico S,0,2025-05-06
AC-RBW-3,Dukier Rainbow Arnés Clásico M,0,2025-05-06
AC-RBW-4,Dukier Rainbow Arnés Clásico L,0,2025-05-06
AC-DUK-2,Dukier Ducks Arnés Clásico S,0,2025-05-06
AC-DUK-3,Dukier Ducks Arnés Clásico M,0,2025-05-06
AC-DUK-4,Dukier Ducks Arnés Clásico L,0,2025-05-06
CR-DUK-2,Dukier Ducks Correa S,0,2025-05-06
CR-DUK-4,Dukier Ducks Correa L,0,2025-05-06
CR-WML-2,Dukier Watermelon Correa S,0,2025-05-06
CR-WML-4,Dukier Watermelon Correa L,0,2025-05-06
CL-DUK-1,Dukier Ducks Collar XS,0,2025-05-06
CL-DUK-2,Dukier Ducks Collar S,0,2025-05-06
CL-DUK-3,Dukier Ducks Collar M,0,2025-05-06
CL-DUK-4,Dukier Ducks Collar L,0,2025-05-06
CL-XMS-1,Dukier Christmas Collar XS,1,2025-05-06
CL-XMS-2,Dukier Christmas Collar S,0,2025-05-06
CL-XMS-3,Dukier Christmas Collar M,0,2025-05-06
CL-XMS-4,Dukier Christmas Collar L,0,2025-05-06
,Dukier Tarjeta DUKIER,2,2025-05-06
,Dukier Halloween Bandana S,0,2025-05-06
,Dukier Halloween Bandana L,0,2025-05-06
,Dukier Tarjeta Navidad,2,2025-05-06
CR-XMS-2,Dukier Christmas Correa S,1,2025-05-06
CR-XMS-4,Dukier Christmas Correa L,0,2025-05-06
PJ-XMS-2,Dukier Pajarita Christmas S,0,2025-05-06
PJ-XMS-4,Dukier Pajarita Christmas L,0,2025-05-06
BD-XMS-2,Dukier Christmas Bandana S,0,2025-05-06
