sku,descripcion,costo_fabricacion,precio_venta,categoria,margen
AT-AVC-2,ARNÉS TRAIL AVOCADO S,7,23,ARNÉS TRAIL,16
PB-TRT-2,PORTA BOLSAS TURTLE,2,6,PORTA BOLSAS,4
AR-FPW-2,ARNÉS AJUSTABLE FLOWER POWER S,3,17,ARNÉS AJUSTABLE,14
CR-VIO-2,LEASH SOFT PURPLE S,2,9,CORREA,7
AC-BRY-2,Dukier Berry Love ArnÈs Clásico S,2,13,ARNÉS CLÁSICO,11
CR-SGR-4,LEASH SOFT GREEN L,2,9,CORREA,7
CL-YLL-2,Collar Lime S,2,10,COLLAR PERRO,8
AC-TRT-2,ARNÉS CLÁSICO TURTLE S,2,13,ARNÉS CLÁSICO,11
BH-TRT-2,BODY HARNESS TURTLE S,2,9,ARNÉS BODY,7
AF-YEL-0,LICK MAT YELLOW,3,12,LICK MAT,9
AF-PNK-0,LICK MAT PINK,3,12,LICK MAT,9
FD-BLU-4,FUNDA CAMA BLUE L,,,CAMA FUNDA,
FD-TRC-2,FUNDA CAMA TERRACOTA S,,,CAMA FUNDA,
AC-TER-2,CLASSIC HARNESS TERRACOTA S,2,9,ARNÉS CLÁSICO,7
AC-SBL-2,CLASSIC HARNESS SOFT BLUE S,2,9,ARNÉS CLÁSICO,7
BH-SGR-2,BODY HARNESS SOFT GREEN S,2,6,ARNÉS BODY,4
BH-VIO-2,BODY HARNESS SOFT PURPLE S,2,6,ARNÉS BODY,4
BH-SGR-1,BODY HARNESS SOFT GREEN XS,2,6,ARNÉS BODY,4
BH-TER-0,BODY HARNESS TERRACOTA XXS,2,6,ARNÉS BODY,4
BH-BEI-0,BODY HARNESS BEIGE XXS,2,6,ARNÉS BODY,4
CG-AVC-0,Collar GATO AVOCADO U,1,5,GATO,4
CL-PCE-4,Dukier Peace Collar L,2,12,COLLAR PERRO,10
BH-BEI-2,BODY HARNESS BEIGE S,2,6,ARNÉS BODY,4
BH-BEI-3,BODY HARNESS BEIGE M,2,6,ARNÉS BODY,4
BH-SBL-1,BODY HARNESS SOFT BLUE XS,2,6,ARNÉS BODY,4
BH-SBL-3,BODY HARNESS SOFT BLUE M,2,6,ARNÉS BODY,4
BH-SBL-4,BODY HARNESS SOFT BLUE L,2,6,ARNÉS BODY,4
BH-SBL-0,BODY HARNESS SOFT BLUE XXS,2,6,ARNÉS BODY,4
BH-SGR-5,BODY HARNESS SOFT GREEN XL,2,6,ARNÉS BODY,4
BH-VIO-1,BODY HARNESS SOFT PURPLE XS,2,6,ARNÉS BODY,4
AC-BEI-2,CLASSIC HARNESS BEIGE S,2,9,ARNÉS CLÁSICO,7
AC-SBL-4,CLASSIC HARNESS SOFT BLUE L,2,9,ARNÉS CLÁSICO,7
BH-VIO-3,BODY HARNESS SOFT PURPLE M,2,6,ARNÉS BODY,4
BH-VIO-4,BODY HARNESS SOFT PURPLE L,2,6,ARNÉS BODY,4
BH-VIO-5,BODY HARNESS SOFT PURPLE XL,2,6,ARNÉS BODY,4
BH-TER-4,BODY HARNESS TERRACOTA L,2,6,ARNÉS BODY,4
CL-BEI-2,COLLAR BEIGE S,1,6,COLLAR PERRO,5
CL-SBL-3,COLLAR SOFT BLUE M,1,6,COLLAR PERRO,5
CL-SGR-3,COLLAR SOFT GREEN M,1,6,COLLAR PERRO,5
CL-SGR-4,COLLAR SOFT GREEN L,1,6,COLLAR PERRO,5
CL-VIO-4,COLLAR SOFT PURPLE L,1,6,COLLAR PERRO,5
BH-GMM-4,BODY HARNESS GUMMY BEARS L,3,11,ARNÉS BODY,8
BH-GMM-5,BODY HARNESS GUMMY BEARS XL,3,11,ARNÉS BODY,8
BH-BEI-1,BODY HARNESS BEIGE XS,2,6,ARNÉS BODY,4
AC-BEI-3,CLASSIC HARNESS BEIGE M,2,9,ARNÉS CLÁSICO,7
CL-TER-4,COLLAR TERRACOTA L,1,6,COLLAR PERRO,5
PB-GMM-2,Dukier Bears Gummy Porta Bolsas U,2,6,PORTA BOLSAS,4
CR-PKG-4,CORREA PINK GALAXY L,3,17,CORREA,14
CR-MON-4,Correa Monstera L,3,17,CORREA,14
CLV-BLK-4,COLLAR PVC BLACK PVC L,3,13,PVC COLLAR PERRO,10
CLV-PNK-4,COLLAR PVC PINK PVC L,3,14,PVC COLLAR PERRO,11
BH-SGR-3,BODY HARNESS SOFT GREEN M,2,6,ARNÉS BODY,4
BH-BEI-4,BODY HARNESS BEIGE L,2,6,ARNÉS BODY,4
BH-SGR-4,BODY HARNESS SOFT GREEN L,2,6,ARNÉS BODY,4
BH-TER-1,BODY HARNESS TERRACOTA XS,2,6,ARNÉS BODY,4
AC-YLL-3,Arnés Clásico Lime M,2,12,ARNÉS CLÁSICO,10
CL-UNC-2,Collar UNICORNS S,2,11,COLLAR PERRO,9
