sku,fecha,cantidad
CR-CLF-2,2025-06-01,80
CR-CLF-4,2025-06-01,50
CR-DGT-2,2025-06-01,80
CR-FPW-2,2025-06-01,140
CR-FPW-4,2025-06-01,120
CR-LBS-2,2025-06-01,140
CR-LBS-4,2025-06-01,160
CR-LMN-2,2025-06-01,140
CR-LMN-4,2025-06-01,200
CR-LPG-2,2025-06-01,160
CR-MMD-2,2025-06-01,60
CR-MON-2,2025-06-01,50
CR-PKG-2,2025-06-01,50
CR-PNK-2,2025-06-01,50
CR-RED-2,2025-06-01,50
CR-SML-2,2025-06-01,150
CR-SML-4,2025-06-01,100
CR-STC-4,2025-06-01,230
CR-SUN-2,2025-06-01,140
CR-SUN-4,2025-06-01,200
CR-UNC-2,2025-06-01,50
CRV-BEI-2,2025-06-01,50
CRV-BEI-4,2025-06-01,150
CRV-BLK-2,2025-06-01,60
CRV-BLK-4,2025-06-01,70
CRV-BLU-2,2025-06-01,50
CRV-BLU-4,2025-06-01,100
CRV-COR-2,2025-06-01,150
CRV-COR-4,2025-06-01,200
CRV-GRN-2,2025-06-01,70
CRV-GRN-4,2025-06-01,150
CRV-PNK-2,2025-06-01,60
CRV-PNK-4,2025-06-01,100
CRV-PRP-2,2025-06-01,150
CRV-PRP-4,2025-06-01,200
CRV-SGR-2,2025-06-01,150
CRV-SGR-4,2025-06-01,200
CRV-YEL-2,2025-06-01,150
CRV-YEL-4,2025-06-01,200
CT-SML-0,2025-06-01,50
DP-BLE-0,2025-06-01,50
DP-BLU-0,2025-06-01,150
DP-PRP-0,2025-06-01,50
MN-AVC-0,2025-06-01,50
MN-BRY-0,2025-06-01,50
MN-SML-0,2025-06-01,50
PB-ALN-2,2025-06-01,130
PB-AVC-2,2025-06-01,400
PB-BLU-2,2025-06-01,170
PB-BRY-2,2025-06-01,300
PB-CLF-2,2025-06-01,50
PB-DGT-2,2025-06-01,200
PB-DUK-2,2025-06-01,60
PB-FPW-2,2025-06-01,200
PB-GMM-2,2025-06-01,100
PB-LBS-2,2025-06-01,100
PB-LMN-2,2025-06-01,150
